grade	unit	word	ipa	zh
三年级上册	Unit 1	ruler	['ru:lə]	尺子
三年级上册	Unit 1	pencil	['pensl]	铅笔
三年级上册	Unit 1	eraser	[i'reisə]	橡皮
三年级上册	Unit 1	crayon	['kreiən]	蜡笔
三年级上册	Unit 1	bag	[bæg]	书包
三年级上册	Unit 1	pen	[pen]	钢笔
三年级上册	Unit 1	pencil-case	['penslkeis]	铅笔盒
三年级上册	Unit 1	book	[buk]	书
三年级上册	Unit 1	no		不
三年级上册	Unit 1	your		你（们）的
三年级上册	Unit 2	red	[red]	红色的
三年级上册	Unit 2	green	[gri:n]	绿色的
三年级上册	Unit 2	yellow	['jeləu]	黄色的
三年级上册	Unit 2	blue	[blu:]	蓝色的
三年级上册	Unit 2	black	[blæk]	黑色的
三年级上册	Unit 2	brown	[braun]	棕色的
三年级上册	Unit 2	white	[hwait]	白色的
三年级上册	Unit 2	orange	['ɔ:rindʒ]	橙色的
三年级上册	Unit 2	OK		好
三年级上册	Unit 2	mum		妈妈
三年级上册	Unit 3	face	[feis]	脸
三年级上册	Unit 3	ear	[iə]	耳朵
三年级上册	Unit 3	eye	[ai]	眼睛
三年级上册	Unit 3	nose	[nəuz]	鼻子
三年级上册	Unit 3	mouth	[mauθ]	嘴
三年级上册	Unit 3	arm	[ɑ:m]	胳膊
三年级上册	Unit 3	hand		手
三年级上册	Unit 3	head	[hed]	头
三年级上册	Unit 3	body	['bɔdi]	身体
三年级上册	Unit 3	leg	[leg]	腿
三年级上册	Unit 3	foot	[fut]	脚
三年级上册	Unit 4	duck	[dʌk]	鸭子
三年级上册	Unit 4	pig	[pig]	猪
三年级上册	Unit 4	cat	[kæt]	猫
三年级上册	Unit 4	bear	[bɛə]	熊
三年级上册	Unit 4	dog	[dɔg]	狗
三年级上册	Unit 4	elephant	['elifənt]	大象
三年级上册	Unit 4	monkey	['mʌŋki]	猴子
三年级上册	Unit 4	bird	[bə:d]	鸟
三年级上册	Unit 4	tiger		老虎
三年级上册	Unit 4	panda	['pændə]	熊猫
三年级上册	Unit 4	zoo		动物园
三年级上册	Unit 4	funny		滑稽的；好笑的
三年级上册	Unit 5	bread	[bred]	面包
三年级上册	Unit 5	juice	[dʒu:s]	果汁
三年级上册	Unit 5	egg		鸡蛋
三年级上册	Unit 5	milk	[milk]	牛奶
三年级上册	Unit 5	water	['wɔ:tə]	水
三年级上册	Unit 5	cake	[keik]	蛋糕
三年级上册	Unit 5	fish		鱼
三年级上册	Unit 5	rice		米饭
三年级上册	Unit 6	one	[wʌn]	一
三年级上册	Unit 6	two	[tu:]	二
三年级上册	Unit 6	three	[θri:]	三
三年级上册	Unit 6	four	[fɔ:]	四
三年级上册	Unit 6	five	[faiv]	五
三年级上册	Unit 6	six	[siks]	六
三年级上册	Unit 6	seven	['sevn]	七
三年级上册	Unit 6	eight	[eit]	八
三年级上册	Unit 6	nine	[nain]	九
三年级上册	Unit 6	ten	[ten]	十
三年级上册	Unit 6	brother		兄弟
三年级上册	Unit 6	plate		盘子
三年级下册	Unit 1	UK		英国
三年级下册	Unit 1	Canada		加拿大
三年级下册	Unit 1	USA		美国
三年级下册	Unit 1	China		中国
三年级下册	Unit 1	she		她
三年级下册	Unit 1	student	['stju:dənt]	学生
三年级下册	Unit 1	pupil		学生，尤指小学生
三年级下册	Unit 1	he		他
三年级下册	Unit 1	teacher	['ti:tʃə]	教师
三年级下册	Unit 1	boy	[bɔi]	男孩
三年级下册	Unit 1	and	[ænd]	和；并且
三年级下册	Unit 1	girl	[gə:l]	女孩
三年级下册	Unit 1	new		新的
三年级下册	Unit 1	friend	[frend]	朋友
三年级下册	Unit 1	today		今天
三年级下册	Unit 2	father	['fɑ:ðə]	爸爸
三年级下册	Unit 2	dad	[dæd]	爸爸口语
三年级下册	Unit 2	man	[mæn]	男人
三年级下册	Unit 2	woman	['wumən]	女人
三年级下册	Unit 2	mother	['mʌðə]	母亲；妈妈
三年级下册	Unit 2	sister	['sistə]	姐妹
三年级下册	Unit 2	brother	['brʌðə]	兄弟
三年级下册	Unit 2	grandmother	['grænd,mʌðə]	外祖母
三年级下册	Unit 2	grandma	['grændmɑ:]	（口语）（外）祖母
三年级下册	Unit 2	grandfather	['grænd,fɑ:ðə]	（外）祖父
三年级下册	Unit 2	grandpa	['grændpɑ:]	（口语）（外）祖父
三年级下册	Unit 2	family		家；家庭
三年级下册	Unit 3	thin	[θin]	瘦的
三年级下册	Unit 3	fat	[fæt]	胖的；肥的
三年级下册	Unit 3	tall	[tɔ:l]	高的
三年级下册	Unit 3	short	[ʃɔ:t]	短的；矮的
三年级下册	Unit 3	long	[lɔŋ]	长的
三年级下册	Unit 3	small	[smɔ:l]	小的
三年级下册	Unit 3	big	[big]	大的
三年级下册	Unit 3	giraffe	[dʒi'rɑ:f]	长颈鹿
三年级下册	Unit 3	so		这么，那么
三年级下册	Unit 3	children		child的复数，儿童
三年级下册	Unit 3	tail		尾巴
三年级下册	Unit 4	on		在.....上
三年级下册	Unit 4	in		在......里
三年级下册	Unit 4	under		在....下面
三年级下册	Unit 4	chair		椅子
三年级下册	Unit 4	desk		书桌
三年级下册	Unit 4	cap		帽子
三年级下册	Unit 4	ball		球
三年级下册	Unit 4	car		小汽车
三年级下册	Unit 4	boat		小船
三年级下册	Unit 4	map		地图
三年级下册	Unit 4	toy		玩具
三年级下册	Unit 4	box		盒；箱
三年级下册	Unit 5	pear	[pɛə]	梨
三年级下册	Unit 5	apple	['æpl]	苹果
三年级下册	Unit 5	orange	['ɔ:rindʒ]	橙子
三年级下册	Unit 5	banana	[bə'nɑ:nə]	香蕉
